creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince
2015/12/14 15:08,"""送货超快，服务贴心，非常满意",4,TRUE,"""豆***迷""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/10 0:04,5,"""来自京东Android客户端""","""金牌会员""",""""""
2015/12/14 15:07,"""到货笫二天就安装了，没有收取安装费，去年笫一台收了高空安装费，被坑了，这次的安装很到位，够热情，服务很好。",3,TRUE,"""A***6""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/11 18:47,5,"""来自京东iPhone客户端""","""钻石会员""","""广东"""
2015/12/14 14:56,"""安装师傅很细心，不错，也许屋子太热，开制冷测试，没有感觉，希望没有问题",4,FALSE,"""h***j""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/10 0:20,5,"""""","""钻石会员""","""北京"""
2015/12/14 14:47,"""开机试了下，制热感觉还可以。新款的，总体感觉还行",2,FALSE,"""飞***鱼""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/12 0:05,5,"""""","""金牌会员""","""河南"""
2015/12/14 14:44,"""空调很好，很静！价格非常优惠，师傅服务也很好！非常愉快的一次购物！好评！",2,TRUE,"""M***8""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/12 16:28,5,"""来自京东Android客户端""","""钻石会员""","""广东"""
2015/12/14 14:44,"""不错",1,TRUE,"""j***6""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/5/28 15:55,5,"""来自京东iPhone客户端""","""钻石会员""","""广东"""
2016/5/29 18:38,"""很及时，第二天就送到",2,TRUE,"""z***5""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/5/27 17:36,5,"""来自京东iPhone客户端""","""银牌会员""","""吉林"""
2016/5/29 18:33,"""商品很好。",1,FALSE,"""j***t""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/5/28 14:00,5,"""""","""银牌会员""",""""""
2016/5/29 18:30,"""质量可以，服务态度也好。",3,FALSE,"""J***8""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/5/26 18:58,5,"""""","""钻石会员""",""""""
2016/5/29 18:29,"""制冷很快，安装师傅很实在",28,TRUE,"""d***8""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/5/1 11:35,5,"""来自京东Android客户端""","""钻石会员""","""北京"""
